Date,DateValue,Price,Open,High,Low
13-03-13,41346,1.2961,1.3034,1.3065,1.2923
14-03-13,41347,1.3005,1.2961,1.3033,1.2911
15-03-13,41348,1.3076,1.3005,1.3109,1.2999
18-03-13,41351,1.2956,1.2959,1.2997,1.2882
19-03-13,41352,1.2883,1.2957,1.2971,1.2845
20-03-13,41353,1.2933,1.2881,1.2978,1.2854
21-03-13,41354,1.2898,1.2932,1.2956,1.288
22-03-13,41355,1.2988,1.2898,1.3011,1.2889
25-03-13,41358,1.2852,1.2972,1.3049,1.283
26-03-13,41359,1.2861,1.2852,1.289,1.2828
27-03-13,41360,1.278,1.2862,1.2868,1.275
28-03-13,41361,1.2816,1.278,1.2845,1.2755
29-03-13,41362,1.282,1.2816,1.2839,1.2793
01-04-13,41365,1.2849,1.2814,1.2868,1.2771
02-04-13,41366,1.282,1.2847,1.2879,1.2809
03-04-13,41367,1.2851,1.282,1.2865,1.279
04-04-13,41368,1.2936,1.2849,1.295,1.2746
05-04-13,41369,1.299,1.2936,1.3041,1.29
08-04-13,41372,1.3009,1.2975,1.3039,1.2963
09-04-13,41373,1.3082,1.3008,1.3104,1.3004
10-04-13,41374,1.307,1.3082,1.3123,1.3052
11-04-13,41375,1.3103,1.3069,1.3139,1.3044
12-04-13,41376,1.3112,1.3098,1.3127,1.3037
15-04-13,41379,1.3036,1.3134,1.3135,1.3023
16-04-13,41380,1.3178,1.3034,1.3203,1.3028
17-04-13,41381,1.303,1.3177,1.3203,1.3003
18-04-13,41382,1.3052,1.3031,1.3098,1.3022
19-04-13,41383,1.3052,1.305,1.3129,1.3046
22-04-13,41386,1.3067,1.3079,1.3094,1.3015
23-04-13,41387,1.2999,1.3066,1.3085,1.2973
24-04-13,41388,1.3016,1.2998,1.3035,1.2955
25-04-13,41389,1.3013,1.3013,1.3094,1.2989
26-04-13,41390,1.3028,1.3013,1.3049,1.2992
29-04-13,41393,1.31,1.3032,1.3117,1.3028
30-04-13,41394,1.3167,1.3098,1.3186,1.3056
01-05-13,41395,1.318,1.3169,1.3245,1.3161
02-05-13,41396,1.3064,1.318,1.3216,1.3037
03-05-13,41397,1.3115,1.3065,1.316,1.3035
06-05-13,41400,1.3076,1.3115,1.3143,1.3054
07-05-13,41401,1.3079,1.3075,1.3133,1.3068
08-05-13,41402,1.3152,1.3079,1.3196,1.3072
09-05-13,41403,1.3043,1.3154,1.318,1.3011
10-05-13,41404,1.2993,1.3042,1.3051,1.2936
13-05-13,41407,1.2976,1.2957,1.2999,1.2942
14-05-13,41408,1.292,1.2976,1.303,1.2916
15-05-13,41409,1.2887,1.2919,1.2943,1.2843
16-05-13,41410,1.2882,1.2886,1.293,1.2846
17-05-13,41411,1.2839,1.2881,1.289,1.2796
20-05-13,41414,1.2883,1.2811,1.2902,1.2803
21-05-13,41415,1.2906,1.2883,1.2934,1.2841
22-05-13,41416,1.2858,1.2906,1.3,1.2833
23-05-13,41417,1.2936,1.2857,1.2956,1.2821
24-05-13,41418,1.2932,1.2938,1.2998,1.2906
27-05-13,41421,1.2932,1.2928,1.2951,1.2917
28-05-13,41422,1.2856,1.2929,1.2951,1.2849
29-05-13,41423,1.2941,1.2857,1.298,1.284
30-05-13,41424,1.305,1.294,1.3063,1.2934
31-05-13,41425,1.2999,1.3053,1.3063,1.2947
03-06-13,41428,1.3076,1.2983,1.3108,1.2955
04-06-13,41429,1.3081,1.3077,1.3104,1.3043
05-06-13,41430,1.3094,1.3081,1.3115,1.3053
06-06-13,41431,1.3247,1.3095,1.3306,1.3075
07-06-13,41432,1.3223,1.3246,1.3285,1.3191
10-06-13,41435,1.3257,1.3207,1.327,1.3177
11-06-13,41436,1.3315,1.3257,1.3318,1.3232
12-06-13,41437,1.3337,1.3314,1.3361,1.3266
13-06-13,41438,1.3375,1.3336,1.3391,1.3278
14-06-13,41439,1.3347,1.3375,1.3376,1.3294
17-06-13,41442,1.3369,1.3342,1.3382,1.3317
18-06-13,41443,1.3394,1.3368,1.3416,1.3325
19-06-13,41444,1.3295,1.3392,1.3415,1.326
20-06-13,41445,1.322,1.3296,1.3303,1.3163
21-06-13,41446,1.3123,1.3219,1.3254,1.3099
24-06-13,41449,1.3119,1.3117,1.3146,1.306
25-06-13,41450,1.3085,1.3118,1.3151,1.3064
26-06-13,41451,1.3012,1.3081,1.3088,1.2984
27-06-13,41452,1.3037,1.3013,1.3058,1.3001
28-06-13,41453,1.301,1.3037,1.3105,1.2992
01-07-13,41456,1.3064,1.3006,1.3067,1.3001
02-07-13,41457,1.2979,1.3065,1.308,1.2964
03-07-13,41458,1.3009,1.2978,1.3032,1.2923
04-07-13,41459,1.2913,1.3009,1.3024,1.2883
05-07-13,41460,1.2832,1.2913,1.2918,1.2807
08-07-13,41463,1.287,1.2825,1.2883,1.2809
09-07-13,41464,1.2781,1.287,1.2899,1.2755
10-07-13,41465,1.2976,1.2781,1.2985,1.2765
11-07-13,41466,1.3096,1.298,1.3204,1.2965
12-07-13,41467,1.3068,1.3097,1.3103,1.3
15-07-13,41470,1.3062,1.3066,1.3085,1.2994
16-07-13,41471,1.3162,1.3062,1.3175,1.3052
17-07-13,41472,1.3125,1.3161,1.3177,1.3084
18-07-13,41473,1.311,1.3125,1.3128,1.3066
19-07-13,41474,1.3142,1.311,1.3154,1.3087
22-07-13,41477,1.3186,1.3142,1.322,1.3131
23-07-13,41478,1.3224,1.3186,1.3241,1.3165
24-07-13,41479,1.3201,1.3222,1.3256,1.3176
25-07-13,41480,1.3277,1.3199,1.3296,1.3165
26-07-13,41481,1.3279,1.3277,1.3297,1.3252
29-07-13,41484,1.3262,1.3276,1.3297,1.3241
30-07-13,41485,1.3263,1.3262,1.3302,1.3234
31-07-13,41486,1.3302,1.3264,1.3346,1.3215
01-08-13,41487,1.3207,1.3301,1.3311,1.3197
02-08-13,41488,1.3283,1.3207,1.3295,1.319
05-08-13,41491,1.3258,1.3274,1.3302,1.3232
06-08-13,41492,1.3306,1.3258,1.3325,1.3245
07-08-13,41493,1.3337,1.3307,1.3347,1.3266
08-08-13,41494,1.3382,1.3338,1.3403,1.3329
09-08-13,41495,1.3343,1.338,1.3391,1.3333
12-08-13,41498,1.33,1.334,1.3346,1.3278
13-08-13,41499,1.3262,1.3299,1.3317,1.3233
14-08-13,41500,1.3256,1.3262,1.3279,1.3239
15-08-13,41501,1.3348,1.3256,1.3365,1.3207
16-08-13,41502,1.3329,1.3346,1.338,1.331
19-08-13,41505,1.3335,1.3328,1.3376,1.3316
20-08-13,41506,1.3417,1.3336,1.3453,1.3323
21-08-13,41507,1.3357,1.3416,1.3428,1.3335
22-08-13,41508,1.3356,1.3355,1.3375,1.3299
23-08-13,41509,1.3382,1.3356,1.341,1.3333
26-08-13,41512,1.3369,1.3382,1.3394,1.3356
27-08-13,41513,1.3393,1.3368,1.34,1.3324
28-08-13,41514,1.334,1.3393,1.3399,1.3306
